year,metric,value_bkwh,source_year_report,source_page,source_verified,note
2016,production_bkwh,94.1,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2016,consumption_bkwh,92.3,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2017,production_bkwh,102.4,2020,59,manual_2020,"KEGOC AR2020 p.59 chart ""Electricity production-consumption, billion kWh"""
2017,consumption_bkwh,97.9,2020,59,manual_2020,"KEGOC AR2020 p.59 chart ""Electricity production-consumption, billion kWh"""
2018,production_bkwh,106.8,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2018,consumption_bkwh,103.2,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2019,production_bkwh,106.0,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2019,consumption_bkwh,105.2,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2020,production_bkwh,108.1,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2020,consumption_bkwh,107.3,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2021,production_bkwh,114.45,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2021,consumption_bkwh,113.89,2021,25,manual_2021,"KEGOC AR2021 p.25 chart ""Electricity generation and consumption, billion kWh"""
2022,production_bkwh,112.9,2023,11,manual_2023,"KEGOC AR2023 p.11 chart ""Dynamics of electricity generation, billion kWh"""
2022,consumption_bkwh,112.9,2024,22,manual_2024,KEGOC AR2024 p.22 production-consumption chart shows equal values for 2022
2023,production_bkwh,112.84,2024,20,manual_2024,"KEGOC AR2024 p.20 text: 2024 generation 117,915.4 mln kWh +5,072.7 vs 2023 -> 112,842.7"
2023,consumption_bkwh,115.07,2023,12,manual_2023,"KEGOC AR2023 p.12 text: consumption in 2023 amounted to 115,067.6 million kWh"
2024,production_bkwh,117.9,2024,20,manual_2024,"KEGOC AR2024 p.20 text: amounted to 117,915.4 million kWh"
2024,consumption_bkwh,120.0,2024,22,manual_2024,"KEGOC AR2024 p.22 text: consumption exceeded production by 2,080.1 mln kWh -> 117.9+2.08"
