line_item,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
,Additives/Blending Components,Aviation gasoline,BIOGASES,Bioethanol,Bitumen (Oil and shale bitumens),Blast furnace gas,Charcoal,Coal Tar,Coke owen gas,Coke-owen coke,Coking Coal,Crude oil,Electricity,Ethane,Fuelwood,Gas condensate,Gasoline type jet fuel,Heat,Heating and other Gasoil,Hydro,Jet fuel kerosene type,Lignite/brown coal,Liquified petroleum gases (LPG),Lubricants,Motor gasoline,Naphtha,Natural Gas Liquids,Natural gas,Other bituminous coal1),Other hydrocarbons,Other kerosene,Other petroleum products,Paraffin Waxes,Petroleum Coke (Oil and shale coke),Rafinery gas,Refinery Feedstocks,Residual fuel oil (High sulphur),Residual fuel oil (Low sulphur),Solar Photovoltaic,Solar Thermal,Total,Transport diesel,White Spirit and SBP,Wind,"Additives, mixture components to improve the properties of the final oil product",Aviation gasoline,Biethanol,Blast furnace gas,"Charcoal, including agglomerated",Coal concentrate,Coke and semi-coke from coal,Coke oven gas,Crude oil,Diesel fuel (distillation temperature 180-380 degrees Celsius) for road and rail transport,Electricity,Electricity from biogas produced by biogas plants,Electricity generated by hydroelectric power plants,Electricity generated by wind farms,Electricity produced by solar power plants,Energy hard coal,"Fuel oil (fuel oil), with a sulfur content of more than 1%",Gas condensate,"Gas obtained by distillation at oil refineries, million cubic meters m",Heat,Heating and other gas oils,Hydrocarbon liquefied gases,Jet fuel such as gasoline,Jet fuel such as kerosene,Kerosene,Lignite (brown coal),Lubricating materials,Motor gasoline,Natural gas,Oil and shale bitumen,Other oil products,Petroleum and shale coke,"Petroleum fuel (fuel oil), with sulfur content less than 1%",Petroleum paraffin,Propane and butane liquefied,Resins obtained by distillation from coal,Straight-run naphtha,Total,"Waste from the processing of substances containing fat or wax, animal and vegetable",White spirit,Wood fuel,"Additives, mixture components to improve the properties of the final oil product",Aviation gasoline,Biethanol,Blast furnace gas,"Charcoal, including agglomerated",Coal concentrate,Coke and semi-coke from coal,Coke oven gas,Crude oil,Diesel fuel (distillation temperature 180-380 degrees Celsius) for road and rail transport,Electricity,Electricity from biogas produced by biogas plants,Electricity generated by hydroelectric power plants,Electricity generated by wind farms,Electricity produced by solar power plants,Energy hard coal1),"Fuel oil (fuel oil), with a sulfur content of more than 1%",Gas condensate,"Gas obtained by distillation at oil refineries, million cubic meters m",Heat,Heating and other gas oils,Hydrocarbon liquefied gases,Jet fuel such as gasoline,Jet fuel such as kerosene,Kerosene,Lignite (brown coal),Lubricating materials,Motor gasoline,Natural gas,Oil and shale bitumen,Other oil products3),Petroleum and shale coke,"Petroleum fuel (fuel oil), with sulfur content less than 1%",Petroleum paraffin,Propane and butane liquefied,Residues from refining of oil or petroleum products,Resins obtained by distillation from coal,Solid biofuels 4),Straight-run naphtha,Total,White spirit,"Additives, mixture components to improve the properties of the final oil product",Aviation gasoline,Biethanol,Blast furnace gas,"Charcoal, including agglomerated",Coal concentrate,Coke and semi-coke from coal,Coke oven gas,Crude oil,Diesel fuel (distillation temperature 180-380 degrees Celsius) for road and rail transport,Electricity,Electricity from biogas produced by biogas plants,Electricity generated by hydroelectric power plants,Electricity generated by wind farms,Electricity produced by solar power plants,Energy hard coal1),"Fuel oil (fuel oil), with a sulfur content of more than 1%","Gas obtained by distillation at oil refineries, million cubic meters m",Heat,Heating and other gas oils,Hydrocarbon liquefied gases,Jet fuel such as gasoline,Jet fuel such as kerosene,Kerosene,Lignite (brown coal),Lubricating materials,Motor gasoline,Natural gas,Oil and shale bitumen,Other oil products3),Petroleum and shale coke,"Petroleum fuel (fuel oil), with sulfur content less than 1%",Petroleum paraffin,Propane and butane liquefied,Residues from refining of oil or petroleum products,Resins obtained by distillation from coal,Solid biofuels 4),Straight-run naphtha,Total,White spirit
3. Final consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture/Forestry,,,,,,,,,,,,,6958.2,,17.8,,,3233.5,21977.2,,,259.9,864.3,142.4,,,,3473.4,4098.3,,0.1,,,,,,7.0,,,,41032.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture/forestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,6503.458,,,,,4092.93,20.219,,,3991.866,23982.566,,,,0.044,282.234,,907.487,4046.167,,,,,,894.012,,,44895.927,147.043,,27.902,,,,,,,,,,,5024.952,,,,,4822.318240236,,,,2842.016,16266.555999999999,,,,,324.535302,,,2402.15116275,,,,10.209973937,,829.2976229999999,,,95.061,,32617.097301923,,,,,,,,,,,,5299.9,,,,,4825.8,,,2934.6,13189.1,,,,,196.8,,,5911.5,,,,12.4,,845.8,,,172.5,,33388.5,
Autoproducer CHP Plants,,,,,,,,,,,,,29286.299999999996,,,,,31505.6,,,,,,,,,,33990.1,78796.8,,,,,,,,547.8,,,,113334.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoproducer Electricity Plants,,,36.9,,,,,,,,,,29207.900000000005,,,,,,,10857.1,,,,,,,,63928.9,,,,,,,,,,,12.9,,74879.19999999998,,,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available for final consumption,0.0,381.4,0.0,0.0,37732.9,9821.1,136.5,282.3,0.5,35983.6,2804.3,-9275.3,312699.6,0.0,887.5,0.0,126.6,263777.7,153405.0,0.0,7911.1,22484.5,42602.1,8244.0,215088.6,0.0,0.0,237324.8,314655.1,0.0,205.5,0.0,5.2,10388.7,0.0,0.0,9822.5,2539.8,0.0,0.0,1755720.5,67911.9,469.6,0.0,-0.019,1880.774,93.312,10137.171,75.826,0.0,31592.794,503.445,0.0,63800.13758256464,299384.793,0.0,0.0,0.0,0.0,303245.043,9098.412,0.0,0.0,255710.08,133676.36676463537,0.0,80.555,15055.431,245.425,51675.153,7992.971,209346.491,310917.191,37828.621,0.012,6989.023,5605.115,5.472,53914.065,2569.166,0.036,1821044.441,66.587,9371.26,183.73,0.0,244.927796,40.17599999999999,7177.02,140.30343413,63.054650000005495,31521.186880000005,0.0,82.16256300020177,101347.91525004197,273060.96479999996,0.0,0.0,0.0,0.0,283355.4756714843,9406.493196119998,-3.569167184025446e-11,0.0,278367.875,148331.10639039,0.0,0.0,15672.059867285097,272.93145044,30128.40958272517,8107.213968,226521.67715804005,309748.59185887506,32053.8229678624,89.9275347388866,5830.187999999998,3853.8762873097876,2.7821049180000004,58174.10186099999,0.02763156000150957,709.6295455152003,622.5355000000001,-2.842170943040401e-14,1824973.0555588119,46.61860937600005,-12.1,623.0,208.7,7224.3,191.8,-7260.4,28540.3,0.0,-46984.3,105276.1,306459.1,2.2,0.0,0.0,0.0,127518.8,5542.2,0.0,315305.9,122628.6,-98431.3,,17525.0,67.5,35713.7,6986.1,232119.3,345075.9,43976.6,-2248.2,2411.7,-19095.3,2.9,167440.8,-4167.3,2621.3,1177.2,1.8,1696567.3,125.6
Blast Furnaces,,,,,,19370.9,,,,56392.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4825.9,,,,61218.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blast furnaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17381.066,,,50981.025,,,,1203.343,,,,,227.028,5734.456,,,1337.587,,,,,,,,,,,,,,,,,,56942.509,,,,,,,16973.261,,,48348.073195,,,,730.5732,,,,,65.961567,3665.3179999999998,,,,,,,,,,,,,,,,,,,,,,,52079.352761999995,,,,,17414.2,,,60989.0,,,,617.476,,,,,,4794.1,,1451.982,,,,,,,,,,,,,,,,,,,,65783.1,
