line_item,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
,Additives/Blending Components,Aviation gasoline,BIOGASES,Bioethanol,Bitumen (Oil and shale bitumens),Blast furnace gas,Charcoal,Coal Tar,Coke owen gas,Coke-owen coke,Coking Coal,Crude oil,Electricity,Ethane,Fuelwood,Gas condensate,Gasoline type jet fuel,Heat,Heating and other Gasoil,Hydro,Jet fuel kerosene type,Lignite/brown coal,Liquified petroleum gases (LPG),Lubricants,Motor gasoline,Naphtha,Natural Gas Liquids,Natural gas,Other bituminous coal1),Other hydrocarbons,Other kerosene,Other petroleum products,Paraffin Waxes,Petroleum Coke (Oil and shale coke),Rafinery gas,Refinery Feedstocks,Residual fuel oil (High sulphur),Residual fuel oil (Low sulphur),Solar Photovoltaic,Solar Thermal,Total,Transport diesel,White Spirit and SBP,Wind,"Additives, mixture components to improve the properties of the final oil product",Aviation gasoline,Biethanol,Blast furnace gas,"Charcoal, including agglomerated",Coal concentrate,Coke and semi-coke from coal,Coke oven gas,Crude oil,Diesel fuel (distillation temperature 180-380 degrees Celsius) for road and rail transport,Electricity,Electricity from biogas produced by biogas plants,Electricity generated by hydroelectric power plants,Electricity generated by wind farms,Electricity produced by solar power plants,Energy hard coal,"Fuel oil (fuel oil), with a sulfur content of more than 1%",Gas condensate,"Gas obtained by distillation at oil refineries, million cubic meters m",Heat,Heating and other gas oils,Hydrocarbon liquefied gases,Jet fuel such as gasoline,Jet fuel such as kerosene,Kerosene,Lignite (brown coal),Lubricating materials,Motor gasoline,Natural gas,Oil and shale bitumen,Other oil products,Petroleum and shale coke,"Petroleum fuel (fuel oil), with sulfur content less than 1%",Petroleum paraffin,Propane and butane liquefied,Resins obtained by distillation from coal,Straight-run naphtha,Total,"Waste from the processing of substances containing fat or wax, animal and vegetable",White spirit,Wood fuel,"Additives, mixture components to improve the properties of the final oil product",Aviation gasoline,Biethanol,Blast furnace gas,"Charcoal, including agglomerated",Coal concentrate,Coke and semi-coke from coal,Coke oven gas,Crude oil,Diesel fuel (distillation temperature 180-380 degrees Celsius) for road and rail transport,Electricity,Electricity from biogas produced by biogas plants,Electricity generated by hydroelectric power plants,Electricity generated by wind farms,Electricity produced by solar power plants,Energy hard coal1),"Fuel oil (fuel oil), with a sulfur content of more than 1%",Gas condensate,"Gas obtained by distillation at oil refineries, million cubic meters m",Heat,Heating and other gas oils,Hydrocarbon liquefied gases,Jet fuel such as gasoline,Jet fuel such as kerosene,Kerosene,Lignite (brown coal),Lubricating materials,Motor gasoline,Natural gas,Oil and shale bitumen,Other oil products3),Petroleum and shale coke,"Petroleum fuel (fuel oil), with sulfur content less than 1%",Petroleum paraffin,Propane and butane liquefied,Residues from refining of oil or petroleum products,Resins obtained by distillation from coal,Solid biofuels 4),Straight-run naphtha,Total,White spirit,"Additives, mixture components to improve the properties of the final oil product",Aviation gasoline,Biethanol,Blast furnace gas,"Charcoal, including agglomerated",Coal concentrate,Coke and semi-coke from coal,Coke oven gas,Crude oil,Diesel fuel (distillation temperature 180-380 degrees Celsius) for road and rail transport,Electricity,Electricity from biogas produced by biogas plants,Electricity generated by hydroelectric power plants,Electricity generated by wind farms,Electricity produced by solar power plants,Energy hard coal1),"Fuel oil (fuel oil), with a sulfur content of more than 1%","Gas obtained by distillation at oil refineries, million cubic meters m",Heat,Heating and other gas oils,Hydrocarbon liquefied gases,Jet fuel such as gasoline,Jet fuel such as kerosene,Kerosene,Lignite (brown coal),Lubricating materials,Motor gasoline,Natural gas,Oil and shale bitumen,Other oil products3),Petroleum and shale coke,"Petroleum fuel (fuel oil), with sulfur content less than 1%",Petroleum paraffin,Propane and butane liquefied,Residues from refining of oil or petroleum products,Resins obtained by distillation from coal,Solid biofuels 4),Straight-run naphtha,Total,White spirit
Agriculture/Forestry,,,,,,,,,,,,,166.2,,0.4,,,77.2,524.9,,,6.2,20.6,3.4,,,,74.7,97.9,,,,,,,,0.2,,,,971.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture/forestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,155.332,,,,,97.758,0.483,,,95.344,572.814,,,,0.001,6.741,,21.675,89.045,,,,,,21.353,,,1064.725,3.512,,0.666,,,,,,,,,,,120.0189165950129,,,,,115.17909239122957,,,,67.88038597496895,388.5200152861373,,,,,7.751392519346517,,,57.37439483018056,,,,0.243861037952613,,19.807433433648608,,,2.270492977930639,,779.0459850464076,,,,,,,,,,,,126.58675838349097,,,,,115.2623669677558,,,70.09154963217732,315.01700582783985,,,,,4.700382631126398,,,141.19374228826314,,,,0.2972967235597593,,20.20059408139868,,,4.120521639438234,,797.4702181750501,
Autoproducer CHP Plants,,,,,,,,,,,,,699.5,,,,,752.5,,,,,,,,,,730.7,1878.1,,,,,,,,13.1,,,,2621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoproducer Electricity Plants,,,0.9,,,,,,,,,,697.6,,,,,,,259.3,,,,,,,,1374.2,,,,,,,,,,,0.3,,1635.7,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available for final consumption,0.0,9.1,0.0,0.0,901.2,234.6,3.3,6.7,0.0,859.5,67.0,-221.5,7468.7,0.0,21.2,0.0,3.0,6300.2,3664.0,0.0,189.0,537.0,1017.5,196.9,5137.3,0.0,0.0,5101.6,7515.4,0.0,4.9,0.0,0.1,248.1,0.0,0.0,234.6,60.7,0.0,0.0,41193.4,1622.0,11.2,0.0,0.0,44.922,2.229,242.122,1.811,0.0,754.581,12.025,0.0,1523.84,7150.683,0.0,0.0,0.0,0.0,7242.883,217.312,0.0,0.0,6107.53,3192.805,0.0,1.924,359.593,5.862,1234.24,190.909,5000.155,6842.45,903.521,0.0,166.93,133.876,0.131,1287.715,61.363,0.001,42911.221,1.59,223.829,4.388,-3.552713678800501e-15,5.84999990446164,0.9595872742906266,171.42017770134706,3.3510899524696667,1.506034441578322,752.8706143116462,0.0,1.962419102902004,2420.6533689223743,6521.949097162507,0.0,0.0,0.0,-2.842170943040401e-14,6767.829265106625,224.67023015477218,-8.266928808176033e-13,0.0,6648.702469666569,3511.8562718637145,0.0,0.0,374.32071910015077,6.518855699818476,719.604700074643,193.6374789337919,5410.377308637622,6478.949834141232,765.5924087098117,2.147882266620627,139.25164803668665,92.04825373339486,0.06644943436514761,1389.464551948983,0.0006599684723518351,16.94921050719403,14.869004967994641,-4.440892098500626e-16,42638.49305808163,1.113466355593772,-0.2899861469379985,14.880108913728863,4.984095509458298,172.54853348619463,4.580252221266838,-173.41103468042456,681.6734224228532,-2.7755575615628914e-14,-1122.1995423593012,2514.476655806176,7319.649183147031,0.05193465176268269,0.0,-5.684341886080802e-14,-2.842170943040401e-14,3045.734326616078,132.3719881532436,0.0,7530.951608865957,2928.933887455814,-2350.990255087417,,418.5774651284992,1.6121142638769461,853.0064122957868,166.8602328747492,5544.0746154581175,7733.044209632052,1050.3619298748447,-53.69641116843411,57.60170058278405,-456.0823206782743,0.06817139581541988,3999.2548218687293,-99.53424510365907,62.60881341358556,28.11626397248495,0.04347950702206936,40012.86261381634,3.0001815228814355
Blast Furnaces,,,,,,462.7,,,,1346.9,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3,,,,1462.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blast furnaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.14,,,1217.661,,,,28.741,,,,,5.422,136.965,,,31.948,,,,,,,,,,,,,,,,,,1360.048,,,,,,,405.3993742237508,,,1154.7738892471575,,,,17.44944110060189,,,,,1.5754649613069647,87.54461641349,,,,,,,,,,,,,,,,,,,,,,,1243.8939706219546,,,,,415.9311646125919,,,1456.697387145314,,,,14.748151332760102,,,,,,114.50484857170153,,34.679994267698476,,,,,,,,,,,,,,,,,,,,1571.2022357170156,
Charcoal Production Plants,,,,,,,1.1,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
